demography_model 	sample_size_per_pop 	msprime_seed 	poolseq_depth 	poolseq_seed 	ploidy 	max_log_likelihoodtheta 	n_1_est 	n_2_est 	t_split_est 	mig_rate_est 	
two_pop_split	100	2	40	1	2	-17051.048384452468	1732.5071914248779	83672.47991238754	54675.48231656792	5171.819543968266	3.243402062962258e-06	
two_pop_split	100	3	10	2	2	-22244.436462033762	1770.3427205748853	28069.30177712287	9733.880689467345	4916.652919593647	2.30583237262259e-06	
two_pop_split	100	3	100	2	2	-14929.113585866	1850.05042119448	115609.95042934356	132697.22176001704	2594.2129609840963	2.4748999276271577e-06	
two_pop_split	100	1	40	3	2	-16774.887888658628	1776.970455354968	63993.88493917085	62812.01826881801	4367.442296437944	1.8271841431878455e-06	
two_pop_split	100	2	100	1	2	-29665.802236120395	1390.5707663098078	88396.80883408937	93309.04745245694	199558.56746782456	4.164203607019903e-06	
two_pop_split	100	2	10	3	2	-23183.69059754385	1569.9041188112938	40031.84568445667	33791.23897471575	18771.645666304692	7.264896897607673e-07	
two_pop_split	100	3	10	3	2	-22487.090137337927	1701.7867601315593	29235.80225713382	9582.382106351057	4243.22117377311	3.3729362890879425e-06	
two_pop_split	100	2	100	3	2	-14192.009048425542	2137.8958569048796	48683.250355279604	20829.0507361018	853.8317490521413	2.4925984171010766e-06	
two_pop_split	100	2	70	1	2	-29242.33845722264	1303.817940569544	111259.57622439612	84421.39851969648	71519.57955052302	2.5876886101550466e-06	
two_pop_split	100	2	70	2	2	-15155.132872546548	1904.0253089644177	58592.32408061659	87448.42864559007	3042.70407144661	3.0193504968781346e-06	
two_pop_split	100	1	40	2	2	-16521.875605638845	1884.8288387566972	21705.110147148396	56718.598254399745	1695.8906905540268	2.5659663949110665e-06	
two_pop_split	100	3	10	1	2	-21023.37356347807	1946.5311381790227	8627.350673943154	12441.01418802185	3164.7214997186866	4.0430419097141406e-07	
two_pop_split	100	2	40	3	2	-16733.66464639375	1817.276809738541	72643.07759983836	39153.45499437982	3764.663936962291	2.8405792945503e-06	
two_pop_split	100	3	40	3	2	-17329.794228426796	1649.3707903654156	93787.44499311663	71010.90034768192	5230.594385035292	2.095955069755617e-06	
two_pop_split	100	3	70	3	2	-14179.261991658479	2172.703561142254	11590.221239487748	19726.334629565546	636.7812946829465	2.2477534756752888e-06	
two_pop_split	100	3	40	2	2	-17974.746396850496	1529.9856660161824	98797.26407045941	100200.44628569644	5746.558916653164	3.2083285010358005e-06	
two_pop_split	100	3	70	1	2	-15620.389937906813	1787.3211503441185	93008.44958997813	107303.5978462547	3247.5236963109005	2.5374283610526748e-06	
